Возраст_Числовой,Оценка_Задания_Числовой,Количество_Попыток_Числовой,Статус_Категориальный,Группа_Категориальный,Описание_Предложение,Комментарий_Предложение,Замечание_Предложение,Булево_Значение,Дата_Столбец
56,,3,КАТ2,E5,Модульная работа.,Проектная работа будет представлена.,Увеличение количества пропусков.,True,2025-05-13
46,3.03,3,КАТ1,E5,Это длинное и осмысленное предложение для анализа.,,Сегодня прекрасный день для изучения Pandas.,,2025-08-21
32,3.4,4,КАТ2,F6,Объект находится в разработке.,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,True,2025-01-12
60,4.42,7,,E5,Это длинное и осмысленное предложение для анализа.,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,False,2025-12-12
25,4.58,4,КАТ2,C3,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,Это длинное и осмысленное предложение для анализа.,True,
38,4.21,9,,D4,Проектная работа будет представлена.,,Модульная работа.,True,2025-02-03
56,4.85,1,КАТ6,B2,Студент успешно выполнил все поставленные перед ним задачи.,Проектная работа будет представлена.,Проектная работа будет представлена.,True,2025-03-19
36,4.3,8,КАТ2,C3,Это длинное и осмысленное предложение для анализа.,Проектная работа будет представлена.,Модульная работа.,True,2025-08-06
40,4.83,7,КАТ6,E5,,Увеличение количества пропусков.,Проектная работа будет представлена.,True,2025-10-28
28,4.7,2,КАТ2,F6,Сегодня прекрасный день для изучения Pandas.,Проектная работа будет представлена.,Модульная работа.,True,2025-03-14
28,3.9,8,КАТ3,A1,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,Модульная работа.,False,2025-10-09
41,3.19,1,,E5,Модульная работа.,Объект находится в разработке.,Увеличение количества пропусков.,False,2025-09-06
53,3.74,9,КАТ2,F6,Проектная работа будет представлена.,Модульная работа.,Объект находится в разработке.,True,2025-02-16
57,4.34,9,КАТ2,D4,Это длинное и осмысленное предложение для анализа.,Проектная работа будет представлена.,Модульная работа.,True,2025-05-01
41,4.33,2,КАТ1,E5,Сегодня прекрасный день для изучения Pandas.,Увеличение количества пропусков.,Увеличение количества пропусков.,True,2025-08-02
20,4.18,7,КАТ1,A1,Модульная работа.,Сегодня прекрасный день для изучения Pandas.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-08-27
39,3.55,3,КАТ1,F6,Сегодня прекрасный день для изучения Pandas.,Объект находится в разработке.,Объект находится в разработке.,False,2025-02-25
19,4.12,7,КАТ3,,Это длинное и осмысленное предложение для анализа.,Студент успешно выполнил все поставленные перед ним задачи.,Модульная работа.,False,2025-12-16
41,3.77,9,КАТ6,,,Студент успешно выполнил все поставленные перед ним задачи.,Сегодня прекрасный день для изучения Pandas.,False,
61,4.94,4,КАТ5,D4,Это длинное и осмысленное предложение для анализа.,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,False,2025-11-15
47,4.7,1,КАТ2,E5,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-02-17
55,4.44,2,КАТ2,D4,Это длинное и осмысленное предложение для анализа.,Увеличение количества пропусков.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-03-02
19,,1,КАТ3,B2,Это длинное и осмысленное предложение для анализа.,Объект находится в разработке.,Увеличение количества пропусков.,False,2025-12-03
38,3.51,5,КАТ2,B2,Увеличение количества пропусков.,Модульная работа.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-01-26
50,3.08,5,КАТ1,E5,Проектная работа будет представлена.,Модульная работа.,Объект находится в разработке.,True,2025-10-19
29,4.42,7,КАТ5,D4,Это длинное и осмысленное предложение для анализа.,Студент успешно выполнил все поставленные перед ним задачи.,Модульная работа.,True,2025-09-14
